商談コード,商談名,金額,完了予定日,フェーズ,従業員コード,顧客コード,姓,名,部署名,顧客名,都道府県,業種
2013-0018,201303リョーネット総合病院様商談,15200,20130315,敗退,2001-01,10062,吉田,義男,営業,リョーネット総合病院,東京,医療、福祉
2013-0094,201309リョーネット総合病院様商談,180000,20130922,成立,2001-01,10062,吉田,義男,営業,リョーネット総合病院,東京,医療、福祉
2015-0002,201501リョーネット総合病院様商談,60000,20150126,敗退,2001-01,10062,吉田,義男,営業,リョーネット総合病院,東京,医療、福祉
2015-0110,201509リョーネット総合病院様商談,38000,20150926,成立,2001-01,10062,吉田,義男,営業,リョーネット総合病院,東京,医療、福祉
2015-0090,201507リョーネット総合病院様商談,48000,20150701,成立,2010-01,10062,酒井,林檎,営業,リョーネット総合病院,東京,医療、福祉
2013-0055,201305I村役場様商談,3000,20130521,敗退,2001-01,10009,吉田,義男,営業,I村役場,千葉,公共
2014-0146,201409I村役場様商談,246600,20140926,成立,2001-01,10009,吉田,義男,営業,I村役場,千葉,公共
2012-0075,201212I村役場様商談,297200,20121205,敗退,2010-01,10009,酒井,林檎,営業,I村役場,千葉,公共
2013-0022,201303I村役場様商談,272400,20130326,成立,2010-01,10009,酒井,林檎,営業,I村役場,千葉,公共
2015-0023,201503I村役場様商談,25200,20150326,成立,2010-01,10009,酒井,林檎,営業,I村役場,千葉,公共
2015-0052,201503I村役場様商談,8280,20150318,成立,2010-01,10009,酒井,林檎,営業,I村役場,千葉,公共
2013-0072,201309株式会社ザッキーストロング様商談,11200,20130920,成立,2001-01,10089,吉田,義男,営業,株式会社ザッキーストロング,神奈川,不動産
2014-0076,201404株式会社ザッキーストロング様商談,90000,20140415,成立,2001-01,10089,吉田,義男,営業,株式会社ザッキーストロング,神奈川,不動産
2014-0120,201409株式会社ザッキーストロング様商談,11600,20140921,成立,2001-01,10089,吉田,義男,営業,株式会社ザッキーストロング,神奈川,不動産
2015-0093,201507株式会社ザッキーストロング様商談,32480,20150723,成立,2001-01,10089,吉田,義男,営業,株式会社ザッキーストロング,神奈川,不動産
2015-0121,201509株式会社ザッキーストロング様商談,84000,20150915,成立,2001-01,10089,吉田,義男,営業,株式会社ザッキーストロング,神奈川,不動産
2015-0137,201509株式会社ザッキーストロング様商談,28140,20150930,成立,2001-01,10089,吉田,義男,営業,株式会社ザッキーストロング,神奈川,不動産
2013-0083,201309株式会社ハイパーコウキ様商談,154600,20130910,成立,2001-01,10092,吉田,義男,営業,株式会社ハイパーコウキ,東京,広告
2015-0152,201511株式会社ハイパーコウキ様商談,7020,20151108,成立,2001-01,10092,吉田,義男,営業,株式会社ハイパーコウキ,東京,広告
2012-0037,201209株式会社ハイパーコウキ様商談,118800,20120902,成立,2010-01,10092,酒井,林檎,営業,株式会社ハイパーコウキ,東京,広告
2015-0162,201512株式会社ハイパーコウキ様商談,285900,20151208,成立,2010-01,10092,酒井,林檎,営業,株式会社ハイパーコウキ,東京,広告
2013-0086,201309カキク情報サービス株式会社様商談,6240,20130922,敗退,2001-01,10031,吉田,義男,営業,カキク情報サービス株式会社,東京,情報通信
2015-0073,201504カキク情報サービス株式会社様商談,180000,20150409,成立,2001-01,10031,吉田,義男,営業,カキク情報サービス株式会社,東京,情報通信
2015-0136,201509カキク情報サービス株式会社様商談,60000,20150916,成立,2001-01,10031,吉田,義男,営業,カキク情報サービス株式会社,東京,情報通信
2013-0009,201302カキク情報サービス株式会社様商談,176000,20130211,成立,2010-01,10031,酒井,林檎,営業,カキク情報サービス株式会社,東京,情報通信
2013-0092,201309ササキクリエイション株式会社様商談,82440,20130923,成立,2001-01,10074,吉田,義男,営業,ササキクリエイション株式会社,神奈川,小売
2014-0017,201402ササキクリエイション株式会社様商談,780,20140212,敗退,2010-01,10074,酒井,林檎,営業,ササキクリエイション株式会社,神奈川,小売
2015-0066,201504ササキクリエイション株式会社様商談,24000,20150411,成立,2010-01,10074,酒井,林檎,営業,ササキクリエイション株式会社,神奈川,小売
2013-0108,201312サクラミクロン株式会社様商談,181000,20131223,成立,2001-01,10061,吉田,義男,営業,サクラミクロン株式会社,千葉,医療、福祉
2015-0119,201509サクラミクロン株式会社様商談,19000,20150915,成立,2001-01,10061,吉田,義男,営業,サクラミクロン株式会社,千葉,医療、福祉
2012-0007,201203サクラミクロン株式会社様商談,25200,20120311,成立,2010-01,10061,酒井,林檎,営業,サクラミクロン株式会社,千葉,医療、福祉
2015-0015,201502サクラミクロン株式会社様商談,110000,20150204,成立,2010-01,10061,酒井,林檎,営業,サクラミクロン株式会社,千葉,医療、福祉
2014-0031,201403おお運輸様商談,18900,20140309,成立,2001-01,10017,吉田,義男,営業,おお運輸,千葉,運輸
2011-0037,201109おお運輸様商談,45400,20110916,成立,2010-01,10017,酒井,林檎,営業,おお運輸,千葉,運輸
2015-0022,201503おお運輸様商談,266800,20150325,敗退,2010-01,10017,酒井,林檎,営業,おお運輸,千葉,運輸
2014-0056,201403D区役所様商談,21000,20140329,成立,2001-01,10004,吉田,義男,営業,D区役所,東京,公共
2014-0144,201409D区役所様商談,162000,20140906,敗退,2001-01,10004,吉田,義男,営業,D区役所,東京,公共
2015-0141,201510D区役所様商談,228000,20151020,成立,2010-01,10004,酒井,林檎,営業,D区役所,東京,公共
2015-0044,201503株式会社海よし様商談,194800,20150318,成立,2001-01,10081,吉田,義男,営業,株式会社海よし,東京,小売
2013-0069,201308株式会社海よし様商談,200000,20130807,成立,2010-01,10081,酒井,林檎,営業,株式会社海よし,東京,小売
2015-0050,201503株式会社トゥルービューティーミネ様商談,42000,20150317,成立,2001-01,10099,吉田,義男,営業,株式会社トゥルービューティーミネ,東京,広告
2015-0122,201509株式会社トゥルービューティーミネ様商談,11200,20150919,成立,2001-01,10099,吉田,義男,営業,株式会社トゥルービューティーミネ,東京,広告
2015-0117,201509株式会社トゥルービューティーミネ様商談,230200,20150923,成立,2010-01,10099,酒井,林檎,営業,株式会社トゥルービューティーミネ,東京,広告
2015-0056,201503E図書館様商談,25000,20150324,成立,2001-01,10005,吉田,義男,営業,E図書館,神奈川,公共
2015-0072,201504R証券様商談,75000,20150424,成立,2001-01,10021,吉田,義男,営業,R証券,東京,金融
2011-0006,201103R証券様商談,206800,20110301,敗退,2010-01,10021,酒井,林檎,営業,R証券,東京,金融
2015-0166,201512R証券様商談,174000,20151211,成立,2010-01,10021,酒井,林檎,営業,R証券,東京,金融
2015-0100,201508イッソン磯辺株式会社様商談,1920,20150828,成立,2001-01,10087,吉田,義男,営業,イッソン磯辺株式会社,神奈川,不動産
2015-0111,201509イッソン磯辺株式会社様商談,2800,20150901,成立,2001-01,10087,吉田,義男,営業,イッソン磯辺株式会社,神奈川,不動産
2014-0007,201402イッソン磯辺株式会社様商談,60000,20140203,成立,2010-01,10087,酒井,林檎,営業,イッソン磯辺株式会社,神奈川,不動産
2012-0058,201203婦人服クローベ株式会社様商談,208800,20120301,成立,2010-01,10046,酒井,林檎,営業,婦人服クローベ株式会社,東京,アパレル
2015-0018,201503上尚会様商談,147200,20150316,成立,2010-01,10067,酒井,林檎,営業,上尚会,神奈川,医療、福祉
2015-0109,201509株式会社タチツ情報総研様商談,195460,20150929,成立,2010-01,10033,酒井,林檎,営業,株式会社タチツ情報総研,千葉,情報通信
